time_elapsed,subject,experiment,code_version,rt,octave,pitch_shift,offset,answer,response,correct
845203,11,IP,v1.0,764.7000000178814,5.0,-,0.0,False,False,True
851187,11,IP,v1.0,1228.0,5.0,-,0.0,False,False,True
856539,11,IP,v1.0,670.5999999940395,5.0,+,-15.0,True,True,True
862011,11,IP,v1.0,790.2999999821186,5.0,+,-15.0,True,True,True
867387,11,IP,v1.0,622.5999999940395,5.0,-,0.0,False,False,True
873163,11,IP,v1.0,1023.100000023842,5.0,+,0.0,True,True,True
878643,11,IP,v1.0,651.8000000119209,5.0,+,15.0,True,True,True
884011,11,IP,v1.0,690.7000000178814,5.0,-,-15.0,False,False,True
889675,11,IP,v1.0,985.2000000178814,5.0,-,-15.0,False,False,True
896147,11,IP,v1.0,1791.5,5.0,-,-15.0,False,False,True
901515,11,IP,v1.0,611.5,5.0,+,0.0,True,True,True
907603,11,IP,v1.0,1259.9000000059605,5.0,-,15.0,False,False,True
913115,11,IP,v1.0,833.7000000178814,5.0,-,-15.0,False,False,True
919579,11,IP,v1.0,1632.0999999940395,5.0,-,15.0,False,False,True
924884,11,IP,v1.0,550.9000000059605,5.0,+,0.0,True,True,True
930955,11,IP,v1.0,1316.800000011921,5.0,-,0.0,False,False,True
936747,11,IP,v1.0,1036.7000000178814,5.0,+,0.0,True,True,True
942387,11,IP,v1.0,883.3000000119209,5.0,+,0.0,True,True,True
955380,11,IP,v1.0,8239.09999999404,5.0,-,0.0,False,False,True
960883,11,IP,v1.0,826.3999999761581,5.0,-,-15.0,False,False,True
966491,11,IP,v1.0,856.0999999940395,5.0,+,0.0,True,True,True
974043,11,IP,v1.0,2800.199999988079,5.0,-,0.0,False,False,True
979795,11,IP,v1.0,924.7000000178814,5.0,+,15.0,True,True,True
1008435,11,IP,v1.0,1288.5,3.0,+,0.0,True,True,True
1013700,11,IP,v1.0,434.2000000178814,3.0,-,15.0,False,False,True
1022299,11,IP,v1.0,3768.899999976158,3.0,-,15.0,False,False,True
1027643,11,IP,v1.0,666.9000000059605,3.0,+,-15.0,True,True,True
1032979,11,IP,v1.0,656.0999999940395,3.0,+,-15.0,True,True,True
1038499,11,IP,v1.0,766.3000000119209,3.0,-,0.0,False,False,True
1044131,11,IP,v1.0,877.5999999940395,3.0,-,0.0,False,False,True
1051499,11,IP,v1.0,2539.2000000178814,3.0,+,15.0,True,False,False
1056963,11,IP,v1.0,706.2000000178814,3.0,-,0.0,False,False,True
1062875,11,IP,v1.0,1080.199999988079,3.0,+,15.0,True,True,True
1068299,11,IP,v1.0,745.5999999940395,3.0,+,-15.0,True,True,True
